,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
Age,1.0,0.09946084164551727,0.017859320920329914,0.03812515171929467,0.024842002786248218,-0.0013296572943330828,0.023000477347269704,0.20893929603072442,0.16027673775070714,0.07644448708282595,0.05759447459675862,0.04058276402553854,-0.04752930821529978,0.03548237585218939,-0.04942722005194537,0.05361055072612423,-0.010152230154219963,-0.012146863576691471
Flight Distance,0.09946084164551727,1.0,0.007131199035059713,-0.02004291647457157,0.06571656593297781,0.004793232484294276,0.05699353130657888,0.21486909340494043,0.1573325222406098,0.1287403252282247,0.1095264209414938,0.1339156015833073,0.06318413011189958,0.07307176819697524,0.05753979518896882,0.0931485974847914,0.0021580114615675997,-0.002425811329034678
Inflight wifi service,0.017859320920329914,0.007131199035059713,1.0,0.34384450591707294,0.715856141267444,0.33624844579294455,0.13471759280671244,0.4569702391680647,0.12265781640105258,0.20932121443521967,0.12149991931551724,0.16047268504590884,0.12092333472744815,0.04319261838355081,0.1104413916513954,0.1326979160936807,-0.017402211431094407,-0.01909505922298653
Departure/Arrival time convenient,0.03812515171929467,-0.02004291647457157,0.34384450591707294,1.0,0.43696115424654514,0.4447571390334804,0.004906371119114535,0.0701187122913004,0.011344159718724859,-0.004861423623927252,0.06888232743982475,0.012441284477964762,0.07212561381399696,0.09333300968368619,0.07331752705146462,0.014292462071912058,0.0010051315647691824,-0.0008641870815691198
Ease of Online booking,0.024842002786248218,0.06571656593297781,0.715856141267444,0.43696115424654514,1.0,0.4586554660895563,0.03187335016636239,0.4040742121779608,0.030014105353144353,0.04703228639950369,0.038832948505811975,0.10760138298948618,0.03876236641859236,0.011080760862057297,0.03527240013018899,0.01617852505330637,-0.006370606109393338,-0.007983622992803925
Gate location,-0.0013296572943330828,0.004793232484294276,0.33624844579294455,0.4447571390334804,0.4586554660895563,1.0,-0.0011586047174040018,0.0016880222100853935,0.0036687785040983756,0.0035167267698150437,-0.028373042456368854,-0.005873445111654661,0.002313445343460521,-0.03542748282779974,0.0016807280588402593,-0.00382994156308241,0.005467106350314138,0.005142878882656845
Food and drink,0.023000477347269704,0.05699353130657888,0.13471759280671244,0.004906371119114535,0.03187335016636239,-0.0011586047174040018,1.0,0.23446825550361097,0.5745564522785715,0.6225120323639995,0.05907311712825321,0.032497632590447356,0.0347461446781211,0.08729900659010346,0.03399281356069491,0.6577597343070511,-0.029926215501083455,-0.03252422693448599
Online boarding,0.20893929603072442,0.21486909340494043,0.4569702391680647,0.0701187122913004,0.4040742121779608,0.0016880222100853935,0.23446825550361097,1.0,0.4202107259656956,0.28506619616942147,0.15544289374143452,0.123950369269077,0.08328016469488611,0.20446156302376026,0.07457286303061139,0.33151713506558106,-0.018982416393159743,-0.021948617471543922
Seat comfort,0.16027673775070714,0.1573325222406098,0.12265781640105258,0.011344159718724859,0.030014105353144353,0.0036687785040983756,0.5745564522785715,0.4202107259656956,1.0,0.6105901255624786,0.13197121755563823,0.10555861232432089,0.0745416138021369,0.1918544693613556,0.06921779828334605,0.678533913541873,-0.027897923863283134,-0.02990011776577802
Inflight entertainment,0.07644448708282595,0.1287403252282247,0.20932121443521967,-0.004861423623927252,0.04703228639950369,0.0035167267698150437,0.6225120323639995,0.28506619616942147,0.6105901255624786,1.0,0.42015270128866755,0.29969151321503495,0.3782100045444891,0.1208672361727146,0.4048551815476832,0.6918146374078886,-0.027488791819078567,-0.030702811556835123
On-board service,0.05759447459675862,0.1095264209414938,0.12149991931551724,0.06888232743982475,0.038832948505811975,-0.028373042456368854,0.05907311712825321,0.15544289374143452,0.13197121755563823,0.42015270128866755,1.0,0.35549515824747824,0.5191341941120491,0.24391432699439705,0.5507821723190345,0.1232200545212144,-0.03156916895167294,-0.0352268122720809
Leg room service,0.04058276402553854,0.1339156015833073,0.16047268504590884,0.012441284477964762,0.10760138298948618,-0.005873445111654661,0.032497632590447356,0.123950369269077,0.10555861232432089,0.29969151321503495,0.35549515824747824,1.0,0.36954409208395633,0.15313722255903217,0.3686556792105133,0.09637040167752957,0.014362562225725125,0.01184322592470245
Baggage handling,-0.04752930821529978,0.06318413011189958,0.12092333472744815,0.07212561381399696,0.03876236641859236,0.002313445343460521,0.0347461446781211,0.08328016469488611,0.0745416138021369,0.3782100045444891,0.5191341941120491,0.36954409208395633,1.0,0.2331222163305146,0.6285610871326185,0.0957926670074036,-0.0055731927189833184,-0.00854167358739423
Checkin service,0.03548237585218939,0.07307176819697524,0.04319261838355081,0.09333300968368619,0.011080760862057297,-0.03542748282779974,0.08729900659010346,0.20446156302376026,0.1918544693613556,0.1208672361727146,0.24391432699439705,0.15313722255903217,0.2331222163305146,1.0,0.23719720742356937,0.17958294553558804,-0.018452937852878604,-0.02036937136145783
